level_w_config;star_conditions_2;star_conditions_3;level_time;star_awards_1;star_awards_2;star_awards_3
1_1;{1,30};{2,2000};120;{1,30};{2,30};{2,30}
1_2;{1,30};{2,2000};120;{1,30};{2,30};{2,30}
1_3;{1,30};{2,2000};120;{1,30};{2,30};{2,30}
1_4;{1,30};{2,2000};120;{1,30};{2,30};{2,30}
1_5;{1,30};{2,2000};120;{1,30};{2,30};{2,30}
1_6;{1,30};{2,2000};120;{1,30};{2,30};{2,30}
1_7;{1,30};{2,2000};120;{1,30};{2,30};{2,30}
1_8;{1,30};{2,2000};120;{1,30};{2,30};{2,30}
1_9;{1,30};{2,2000};120;{1,30};{2,30};{2,30}
1_10;{1,30};{2,2000};120;{1,30};{2,30};{2,30}
1_11;{1,30};{2,2000};120;{1,30};{2,30};{2,30}
1_12;{1,30};{2,2000};120;{1,30};{2,30};{2,30}
1_13;{1,30};{2,2000};120;{1,30};{2,30};{2,30}
1_14;{1,30};{2,2000};120;{1,30};{2,30};{2,30}
1_15;{1,30};{2,2000};120;{1,30};{2,30};{2,30}
1_16;{1,30};{2,2000};120;{1,30};{2,30};{2,30}
1_17;{1,30};{2,2000};120;{1,30};{2,30};{2,30}
1_18;{1,30};{2,2000};120;{1,30};{2,30};{2,30}
1_19;{1,30};{2,2000};120;{1,30};{2,30};{2,30}
1_20;{1,30};{2,2000};120;{1,30};{2,30};{2,30}
