model_config;model_name;name;icon;half_icon;counts
1;role_creature_1;0;0;0;0
2;weapon_1;0;0;0;0
3;boss_1;0;0;0;0
4;boss_2;0;0;0;0
5;monster_1;0;0;0;0
6;monster_2;0;0;0;0
7;monster_3;0;0;0;0
8;monster_4;0;0;0;0
9;monster_5;0;0;0;0
10;monster_6;0;0;0;0
11;monster_x_1;0;0;0;0
12;monster_x_2;0;0;0;0
13;monster_x_3;0;0;0;0
14;monster_x_4;0;0;0;0
15;monster_x_5;0;0;0;0
16;monster_x_6;0;0;0;0
17;monster_x_7;0;0;0;0
18;monster_x_8;0;0;0;0
19;monster_x_9;0;0;0;0
20;monster_x_10;0;0;0;0
21;monster_x_11;0;0;0;0
22;monster_x_12;0;0;0;0
23;monster_x_13;0;0;0;0
24;monster_x_14;0;0;0;0
