skill_config;effect;feffect;actionName;type;attack_range;cold_cd;attack_effect;posxy
1;3;0;skill1;2;30;0;2;{0,0}
2;4;0;skill2;2;30;0;2;{0,0}
3;5;0;skill3;2;30;0;2;{0,1}
4;6;0;skill4;2;30;0;2;{0,2}
5;9;{8,154,121};attack;3;30;0;7;{176,123}
6;10;0;skill1;2;30;0;13;{0,0}
7;10;0;skill2;2;30;0;13;{0,0}
8;0;0;skill1;2;30;0;0;{0,0}
9;0;0;skill2;2;30;0;0;{0,0}
10;0;0;skill3;2;30;0;0;{0,0}
11;0;0;attack;1;30;0;13;{0,0}
12;0;0;attack;1;30;0;13;{0,0}
13;0;0;attack;1;30;0;13;{0,0}
14;0;0;attack;1;30;0;13;{0,0}
15;0;0;attack;1;30;0;13;{0,0}
16;0;0;attack;1;30;0;13;{0,0}
17;14;0;0;4;0;0;0;{0,0}
